Issue_key,keyword
HBASE-21749,[]
HBASE-16006,[]
ZOOKEEPER-1211,[]
CASSANDRA-5448,[]
CASSANDRA-2481,[]
CASSANDRA-16409,[]
HADOOP-17730,[]
CASSANDRA-3797,[]
KAFKA-14015,[]
HBASE-24656,[]
KAFKA-4408,[]
HDFS-14869,[]
HBASE-20280,[]
HBASE-20497,[]
HADOOP-17925,[]
HBASE-25311,[]
HDFS-1234,[]
CASSANDRA-1463,[]
CASSANDRA-12189,[]
HADOOP-8123,[]
CASSANDRA-2647,[]
CASSANDRA-4396,[]
KAFKA-8227,[]
HBASE-21300,[]
HDFS-1149,[]
CASSANDRA-7170,[]
HDFS-10437,[]
CASSANDRA-1376,[]
CASSANDRA-2730,[]
HBASE-21699,[]
CASSANDRA-2059,[]
HBASE-15616,[]
HBASE-17706,[]
CASSANDRA-3656,[]
KAFKA-3384,[]
CASSANDRA-2912,[]
HDFS-10309,[]
HBASE-18493,[]
KAFKA-10763,[]
CASSANDRA-15726,[]
CASSANDRA-5620,[]
CASSANDRA-13483,[]
HADOOP-7768,[]
CASSANDRA-12241,[]
CASSANDRA-4377,[]
HDFS-12567,[]
HADOOP-16655,[]
HDFS-5819,[]
KAFKA-5402,[]
CASSANDRA-15375,[]
CASSANDRA-11849,[]
HDFS-11025,[]
HBASE-23222,[]
HBASE-20799,[]
HADOOP-12556,[]
HBASE-22414,[]
CASSANDRA-4802,[]
KAFKA-5992,[]
CASSANDRA-13158,[]
CASSANDRA-12633,[]
HBASE-22386,[]
KAFKA-158,[]
CASSANDRA-17214,[]
HBASE-18616,[]
HDFS-11379,[]
CASSANDRA-8580,[]
CASSANDRA-694,[]
KAFKA-259,[]
KAFKA-6451,[]
KAFKA-3410,[]
HDFS-12833,[]
HBASE-17957,[]
KAFKA-10432,[]
HDFS-14549,[]
CASSANDRA-10593,[]
HBASE-15132,[]
HBASE-16670,[]
KAFKA-3782,[]
HADOOP-17891,[]
HDFS-4341,[]
CASSANDRA-11696,[]
CASSANDRA-11640,[]
HDFS-3812,[]
HBASE-18891,[]
HBASE-16002,[]
HADOOP-14366,[]
HADOOP-17750,[]
HDFS-12358,[]
CASSANDRA-11988,[]
KAFKA-6605,[]
HADOOP-1792,[]
HBASE-27179,[]
HADOOP-17059,[]
CASSANDRA-6128,[]
HADOOP-17164,[]
CASSANDRA-7895,[]
CASSANDRA-11611,[]
HDFS-1065,[]
HBASE-19185,[]
HDFS-4553,[]
