Issue_key,keyword
CASSANDRA-16334,[]
CASSANDRA-16254,[]
CASSANDRA-17999,[]
CASSANDRA-16660,[]
CASSANDRA-17335,[]
CASSANDRA-17116,[]
CASSANDRA-17426,[]
CASSANDRA-17456,[]
CASSANDRA-17928,[]
CASSANDRA-18086,[]
CASSANDRA-17819,[]
CASSANDRA-17461,[]
CASSANDRA-17307,[]
CASSANDRA-15697,[]
CASSANDRA-17658,[]
CASSANDRA-17314,[]
CASSANDRA-17458,[]
CASSANDRA-17342,[]
CASSANDRA-15709,[]
CASSANDRA-17849,[]
CASSANDRA-17310,[]
CASSANDRA-17701,[]
CASSANDRA-15672,[]
CASSANDRA-17801,[]
CASSANDRA-17416,[]
CASSANDRA-17422,[]
CASSANDRA-17462,[]
CASSANDRA-16409,[]
CASSANDRA-17463,[]
CASSANDRA-17636,[]
CASSANDRA-16381,[]
CASSANDRA-15948,[]
CASSANDRA-15679,[]
CASSANDRA-15802,[]
CASSANDRA-16628,[]
CASSANDRA-15922,[]
CASSANDRA-17286,[]
CASSANDRA-16954,[]
CASSANDRA-16960,[]
CASSANDRA-17469,[]
CASSANDRA-17482,[]
CASSANDRA-17020,[]
CASSANDRA-17903,[]
CASSANDRA-16883,[]
CASSANDRA-17136,[]
CASSANDRA-17492,[]
CASSANDRA-17459,[]
CASSANDRA-17386,[]
CASSANDRA-15987,[]
CASSANDRA-18036,[]
CASSANDRA-16349,[]
CASSANDRA-15861,[]
CASSANDRA-17301,[]
CASSANDRA-15782,[]
CASSANDRA-17714,[]
CASSANDRA-15623,[]
CASSANDRA-16827,[]
CASSANDRA-17284,[]
CASSANDRA-16491,[]
CASSANDRA-17397,[]
CASSANDRA-17541,[]
CASSANDRA-16992,[]
CASSANDRA-16668,[]
CASSANDRA-17265,[]
CASSANDRA-16148,[]
CASSANDRA-17625,[]
CASSANDRA-17892,[]
CASSANDRA-16469,[]
CASSANDRA-16397,[]
CASSANDRA-17496,[]
CASSANDRA-17927,[]
CASSANDRA-16817,[]
CASSANDRA-16991,[]
CASSANDRA-17637,[]
CASSANDRA-17368,[]
CASSANDRA-17387,[]
CASSANDRA-18188,[]
CASSANDRA-16874,[]
CASSANDRA-17626,[]
CASSANDRA-17291,[]
CASSANDRA-17256,[]
CASSANDRA-17489,[]
CASSANDRA-16585,[]
CASSANDRA-16492,[]
CASSANDRA-16490,[]
CASSANDRA-17289,[]
CASSANDRA-16581,[]
CASSANDRA-17290,[]
CASSANDRA-16539,[]
CASSANDRA-15852,[]
CASSANDRA-18157,[]
CASSANDRA-17926,[]
CASSANDRA-16728,[]
CASSANDRA-15685,[]
CASSANDRA-17627,[]
CASSANDRA-16616,[]
CASSANDRA-15886,[]
CASSANDRA-16474,[]
CASSANDRA-18140,[]
CASSANDRA-17660,[]
CASSANDRA-17306,[]
CASSANDRA-17929,[]
CASSANDRA-15885,[]
CASSANDRA-17299,[]
CASSANDRA-15928,[]
CASSANDRA-16508,[]
CASSANDRA-17323,[]
CASSANDRA-15696,[]
CASSANDRA-17079,[]
CASSANDRA-18164,[]
CASSANDRA-16415,[]
CASSANDRA-17466,[]
CASSANDRA-17530,[]
CASSANDRA-16296,[]
CASSANDRA-16601,[]
CASSANDRA-16399,[]
CASSANDRA-17668,[]
CASSANDRA-15650,[]
CASSANDRA-16418,[]
CASSANDRA-16226,[]
