Issue_key,keyword
CASSANDRA-13873,"['node', 'node', 'node', 'node', 'node']"
CASSANDRA-16334,"['node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'replica', 'replica', 'fail', 'fail', 'fail', 'fail', 'fail', 'message', 'message', 'server', 'server']"
CASSANDRA-16254,"['fail', 'fail', 'fail', 'message']"
CASSANDRA-15191,"['node', 'fail', 'fail', 'fail', 'server']"
CASSANDRA-17116,"['fail', 'fail', 'fail', 'fail', 'message', 'message', 'message', 'message']"
CASSANDRA-17456,"['node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'replica', 'connection', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'race']"
CASSANDRA-17928,['race']
CASSANDRA-18086,['consistent']
CASSANDRA-14525,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'consistent', 'consistent', 'client', 'client', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'message']"
CASSANDRA-17658,"['fail', 'fail', 'fail']"
CASSANDRA-17314,['race']
CASSANDRA-17458,"['replica', 'fail', 'fail', 'race']"
CASSANDRA-15709,['fail']
CASSANDRA-17342,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'consistent', 'consistent', 'restart', 'restart', 'restart']"
CASSANDRA-17849,"['fail', 'fail', 'race']"
CASSANDRA-17701,"['node', 'node', 'fail', 'fail']"
CASSANDRA-15672,"['consistent', 'consistent', 'consistent', 'consistent', 'consistent', 'fail']"
CASSANDRA-17801,['race']
CASSANDRA-17416,"['replica', 'race']"
CASSANDRA-17463,"['replica', 'fail', 'fail', 'race']"
CASSANDRA-15014,"['crash', 'distributed', 'distributed', 'distributed', 'distributed', 'distributed', 'distributed', 'distributed', 'fail', 'fail', 'fail']"
CASSANDRA-16381,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'replica', 'replica', 'replica', 'replica', 'fail', 'fail', 'fail', 'race']"
CASSANDRA-15679,"['replica', 'fail', 'fail']"
CASSANDRA-16628,"['node', 'node', 'node', 'assign', 'message', 'assign']"
CASSANDRA-15212,"['lock', 'partition']"
CASSANDRA-15922,"['node', 'node', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'region', 'region', 'region', 'race']"
CASSANDRA-15088,"['connection', 'connection', 'fail', 'fail', 'parallel']"
CASSANDRA-17286,['race']
CASSANDRA-14504,"['consistent', 'server']"
CASSANDRA-16960,"['message', 'message', 'race']"
CASSANDRA-13402,"['fail', 'fail', 'fail', 'race']"
