Issue_key,Summary,keyword
HADOOP-15129,Datanode caches namenode DNS lookup failure and cannot startup,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'remote', 'assign', 'connection', 'connection', 'connection', 'assign', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-18363,Fix bug preventing hadoop-metrics2 from emitting metrics to > 1 Ganglia servers.,['server']
HADOOP-14479,Erasurecode testcase failures with native enabled,"['crash', 'crash']"
HADOOP-15819,S3A integration test failures: FileSystem is closed! - without parallel test run,['parallel']
HADOOP-17203,Test failures in ITestAzureBlobFileSystemCheckAccess in ABFS,"['parallel', 'parallel']"
HADOOP-16936,Failure in Abfs tests,"['replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'remote', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'race']"
HADOOP-18242,ABFS Rename Failure when tracking metadata is in incomplete state,"['node', 'crash', 'meta', 'meta', 'region', 'race', 'server']"
HADOOP-17608,Fix TestKMS failure,"['server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-14604,Fix the bug of aggregation log have one replication in HDFS Federation environment,"['replica', 'replica', 'replica', 'replica', 'replica']"
HADOOP-17457,intermittent ITestS3AInconsistency.testGetFileStatus failure.,['delay']
HADOOP-13824,FsShell can suppress the real error if no error message is present,"['race', 'race']"
HADOOP-13574,Unnecessary file existence check causes problems with S3,['region']
HADOOP-14461,Azure: handle failure gracefully in case of missing account access key,['race']
HADOOP-18219,Fix shadedclient test failure,"['cluster', 'cluster', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-14486,TestSFTPFileSystem#testGetAccessTime test failure using openJDK 1.8.0  ,['consistent']
HADOOP-17040,Fix intermittent failure of ITestBlockingThreadPoolExecutorService,['node']
HADOOP-17298,Backslash in username causes build failure in the environment started by start-build-env.sh.,['race']
HADOOP-17496,Build failure due to python2.7 deprecation by pip,['race']
HADOOP-17755,EOF reached error reading ORC file on S3A,['corrupt']
HADOOP-18043,Use mina-core 2.0.22 to fix LDAP unit test failures,"['connection', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-14028,S3A BlockOutputStreams doesn't delete temporary files in multipart uploads or handle part upload failures,"['block', 'block', 'block', 'block']"
HADOOP-17730,[thirdparty] Do not exclude error_prone,['race']
HADOOP-16051,branch-2 build is failing by npm error,"['node', 'node', 'node', 'node', 'race']"
HADOOP-16869, Upgrade findbugs-maven-plugin to 3.0.5 to fix mvn findbugs:findbugs failure,"['assign', 'assign']"
HADOOP-17836,Improve logging on ABFS error reporting,"['connection', 'connection']"
HADOOP-13837,Always get unable to kill error message even the hadoop process was successfully killed,"['node', 'node', 'node', 'node', 'node', 'cluster', 'race']"
HADOOP-12970,Intermittent signature match failures in S3AFileSystem due connection closure,"['connection', 'connection', 'connection', 'meta', 'meta', 'meta', 'server', 'server', 'server']"
HADOOP-15674,Test failure TestSSLHttpServer.testExcludedCiphers with TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256 cipher suite,['race']
HADOOP-13215,INTERNAL_SERVER_ERROR due to NPE from PseudoAuthenticationHandler,"['cluster', 'server', 'server', 'server', 'server']"
HADOOP-16311,Hadoop build failure - natively on ARM (armv7) - oom_listener_main.c issues,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-17412,"When `fs.s3a.connection.ssl.enabled=true`,   Error when visit S3A with AKSK","['connection', 'connection']"
HADOOP-15331,Fix a race condition causing parsing error of java.io.BufferedInputStream in class org.apache.hadoop.conf.Configuration,"['crash', 'race', 'race', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-13526,Add detailed logging in KMS for the authentication failure of proxy user,['server']
HADOOP-13831,Correct check for error code to detect Azure Storage Throttling and provide retries,['consistent']
HADOOP-14835,mvn site build throws SAX errors,['race']
HADOOP-14343,Wrong pid file name in error message when starting secure daemon,['node']
HADOOP-15085,Output streams closed with IOUtils suppressing write errors,"['block', 'corrupt']"
HADOOP-15028,Got errors while running org.apache.hadoop.io.TestSequenceFileAppend,"['corrupt', 'corrupt']"
HADOOP-17522,Looking to build Hadoop but start-build-env.sh errors,['race']
HADOOP-18217,shutdownhookmanager should not be multithreaded (deadlock possible),"['network', 'delay', 'delay', 'remote', 'crash', 'parallel', 'parallel']"
HADOOP-13903,Improvements to KMS logging to help debug authorization errors ,['race']
HADOOP-14283,Upgrade AWS SDK to 1.11.134,['parallel']
HADOOP-12888,Shell to disable bash and setsid support when running under JVM security manager,"['cluster', 'server']"
HADOOP-17764,S3AInputStream read does not re-open the input stream on the second read retry attempt,['corrupt']
HADOOP-17158,Test timeout for ITestAbfsInputStreamStatistics#testReadAheadCounters,"['remote', 'remote', 'race']"
