Issue_key,keyword
HBASE-26755,['failure']
HBASE-23904,"['failure', 'active', 'master', 'master', 'master', 'master', 'master', 'master', 'down', 'down', 'down', 'connect', 'hang']"
HBASE-27246,"['master', 'master', 'sync', 'group', 'group', 'group', 'group', 'group', 'group', 'group']"
HBASE-23566,"['network', 'network']"
HBASE-26088,"['failure', 'crash', 'timeout', 'hang']"
HBASE-26166,['master']
HBASE-24661,['failure']
HBASE-24958,"['failure', 'recovery']"
HBASE-24280,"['failure', 'failure', 'master', 'hang']"
HBASE-26938,"['failure', 'failure', 'master', 'cluster']"
HBASE-27151,['failure']
HBASE-22100,"['hang', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-22106,"['failure', 'restart', 'group']"
HBASE-22370,"['failover', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-22856,"['failure', 'setup', 'setup', 'setup', 'setup', 'setup', 'setup', 'setup', 'setup']"
HBASE-27489,['master']
HBASE-25692,"['cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'distributed', 'peer']"
HBASE-27554,"['failure', 'master', 'master', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-24856,['master']
HBASE-24215,"['setup', 'setup', 'setup', 'setup']"
HBASE-25429,"['snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'recovery']"
HBASE-24454,"['cluster', 'sync']"
HBASE-24815,"['connect', 'connect', 'connect', 'connect']"
HBASE-23881,"['failure', 'setup', 'connect']"
HBASE-25341,"['failure', 'master']"
HBASE-22522,"['master', 'master', 'master']"
HBASE-25503,"['master', 'down']"
HBASE-27589,['failure']
HBASE-26244,['sync']
HBASE-24197,['failure']
HBASE-26184,['snapshot']
HBASE-24768,"['failure', 'failure', 'failure', 'master', 'setup', 'connect', 'connect', 'connect', 'connect']"
HBASE-25447,['remote']
HBASE-25900,"['failure', 'failure', 'hang', 'hang', 'hang', 'sync']"
HBASE-23222,['failure']
HBASE-25366,"['crash', 'crash', 'active', 'active', 'standby', 'standby', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'sync', 'replica']"
HBASE-24755,['group']
HBASE-23243,['cluster']
HBASE-26787,"['replica', 'replica']"
HBASE-22838,"['failure', 'group', 'group']"
HBASE-23693,"['failure', 'crash', 'crash', 'node', 'active', 'master', 'master', 'down', 'hang', 'group', 'group']"
HBASE-24812,['hang']
HBASE-25355,"['cluster', 'cluster', 'replica', 'peer']"
HBASE-23255,"['master', 'master']"
HBASE-26896,"['snapshot', 'snapshot']"
HBASE-26436,"['hang', 'group', 'group']"
HBASE-27027,"['failure', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'cluster', 'startup']"
HBASE-24593,['failure']
HBASE-22282,['sync']
HBASE-26753,"['timeout', 'timeout', 'replica', 'replica']"
HBASE-27292,['failure']
HBASE-27211,"['failure', 'master']"
HBASE-25710,"['recovery', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup']"
HBASE-26297,"['master', 'master', 'sync', 'replica']"
HBASE-27420,"['connect', 'connect', 'connect', 'connect', 'connect', 'connect', 'connect', 'hang']"
HBASE-24719,"['cluster', 'group', 'group', 'group', 'group', 'group']"
HBASE-23171,"['network', 'master', 'master', 'master', 'master', 'master']"
HBASE-26776,['failure']
HBASE-27579,"['master', 'failover', 'failover']"
HBASE-22646,"['restart', 'cluster']"
HBASE-23079,"['node', 'node', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'timeout', 'timeout']"
HBASE-22581,['master']
HBASE-23833,"['failure', 'failure', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-25596,"['crash', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-22289,"['failure', 'restart', 'restart', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master']"
HBASE-23205,"['failure', 'node', 'hang', 'sync', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'recovery', 'recovery', 'recovery']"
