Issue_key,Summary,keyword
HDFS-15543,"RBF: Write Should allow, when a subcluster is unavailable for RANDOM mount points with fault Tolerance enabled. ","['node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'block', 'block', 'block', 'block', 'block']"
HDFS-13705,The native ISA-L library loading failure should be made warning rather than an error message,['race']
HDFS-14101,Random failure of testListCorruptFilesCorruptedBlock,"['node', 'server']"
HDFS-16333,fix balancer bug when transfer an EC block,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block']"
HDFS-14180,Suspect there is a bug in NetworkTopology.java chooseRandom function.,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node']"
HDFS-16385,Fix Datanode retrieve slownode information bug.,"['node', 'node', 'node', 'node']"
HDFS-14846,libhdfs tests are failing on trunk due to jni usage bugs,"['crash', 'crash']"
HDFS-16127,Improper pipeline close recovery causes a permanent write failure or data loss.,"['node', 'recovery', 'block']"
HDFS-15124,Crashing bugs in NameNode when using a valid configuration for `dfs.namenode.audit.loggers`,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-14245,Class cast error in GetGroups with ObserverReadProxyProvider,"['node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-15796,ConcurrentModificationException error happens on NameNode occasionally,"['node', 'block', 'block', 'block', 'block', 'server', 'server', 'server', 'server']"
HDFS-15232,Fix libhdfspp test failures with GCC 7,"['node', 'node', 'remote', 'remote', 'block', 'block']"
HDFS-16847,RBF: StateStore writer should not commit tmp fail if there was an error in writing the file.,['server']
HDFS-15157,Fix compilation failure for branch-3.1,"['node', 'node', 'block', 'server', 'server']"
HDFS-15193,Improving the error message for missing `dfs.namenode.rpc-address.$NAMESERVICE`,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node']"
HDFS-14333,Datanode fails to start if any disk has errors during Namenode registration,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'replica', 'replica', 'replica', 'replica', 'replica', 'block', 'block', 'block', 'block', 'block', 'corrupt', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-14056,Fix error messages in HDFS-12716,['node']
HDFS-15077,Fix intermittent failure of TestDFSClientRetries#testLeaseRenewSocketTimeout,['race']
HDFS-14189,Fix intermittent failure of TestNameNodeMetrics,"['node', 'server']"
HDFS-16525,System.err should be used when error occurs in multiple methods in DFSAdmin class,['connection']
HDFS-15240,Erasure Coding: dirty buffer causes reconstruction block error,"['node', 'node', 'node', 'node', 'remote', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'corrupt', 'corrupt', 'server', 'server', 'server', 'server']"
HDFS-14557,JournalNode error: Can't scan a pre-transactional edit log,"['node', 'node', 'node', 'node', 'node', 'corrupt', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HDFS-15147,LazyPersistTestCase wait logic is error-prone,"['cluster', 'consistent', 'block', 'restart', 'restart', 'restart']"
HDFS-16496,Snapshot diff on snapshotable directory fails with not snapshottable error,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server']"
HDFS-13895,EC: Fix Intermittent Failure in TestDFSStripedOutputStreamWithFailureWithRandomECPolicy,"['block', 'block']"
HDFS-15443,Setting dfs.datanode.max.transfer.threads to a very small value can cause strange failure.,"['node', 'node', 'node', 'node']"
HDFS-15128,Unit test failing to clean testing data and crashed future Maven test run due to failure in TestDataNodeVolumeFailureToleration,"['node', 'node', 'node', 'node', 'crash', 'race', 'server', 'server', 'server', 'restart']"
HDFS-16635,Fix javadoc error in Java 11,"['node', 'server']"
HDFS-15506,[JDK 11] Fix javadoc errors in hadoop-hdfs module,"['node', 'node', 'block', 'server', 'server']"
HDFS-16311,Metric metadataOperationRate calculation error in DataNodeVolumeMetrics,"['node', 'meta', 'meta']"
